2026-03-22 23:05:42.348766 | pt | onde fica o leão
2026-03-22 23:05:51.698817 | pt | onde fica o elefante
2026-03-22 23:10:47.147361 | pt | o que leao come
2026-03-22 23:10:53.492730 | pt | o que o leao come
2026-03-22 23:11:00.321230 | pt | leão
2026-03-22 23:11:08.560333 | pt | onde fica o leão
2026-03-22 23:11:52.532330 | pt | onde fica o leão
2026-03-22 23:13:48.507505 | pt | leão
2026-03-23 08:29:33.098586 | pt | leão
2026-03-23 08:59:20.163778 | pt | onde esta o leão
2026-03-23 09:26:37.123365 | pt | onde esta o leao
2026-03-23 09:26:49.052485 | pt | onde esta o leão
2026-03-23 10:02:08.749561 | pt | leão
2026-03-23 10:03:33.635546 | pt | leão
2026-03-23 10:22:33.006308 | pt | elefante
2026-03-23 10:28:29.620227 | pt | elefante
2026-03-23 10:35:05.649045 | pt | 
2026-03-23 11:03:39.664930 | pt | leão
2026-03-23 11:03:51.072668 | pt | elefante
2026-03-23 11:10:24.141123 | pt | leão
2026-03-23 11:11:19.764346 | pt | girafa
2026-03-23 11:13:09.101470 | pt | girafa
2026-03-23 11:17:52.930204 | pt | leão
2026-03-23 11:18:02.322822 | pt | elefante
2026-03-23 11:18:05.609697 | pt | girafa
2026-03-23 11:27:43.465217 | pt | girafa
2026-03-23 11:27:47.997908 | pt | elefante
2026-03-23 11:27:52.146780 | pt | leão
2026-03-23 11:28:36.556190 | en | leao
2026-03-23 11:28:47.175799 | en | leão
2026-03-23 11:39:45.338568 | pt | leão
2026-03-25 09:36:15.731305 | pt | leão
2026-03-25 09:47:40.161534 | pt | leão
2026-03-25 09:47:42.243076 | pt | leão
2026-03-25 09:47:45.466176 | pt | elefante
2026-03-25 09:48:44.505889 | pt | leão
2026-03-25 09:49:10.118291 | pt | elefante
2026-03-25 09:51:56.593625 | pt | leão
2026-03-25 09:56:39.255477 | pt | leão
2026-03-25 09:58:24.558473 | pt | leão
2026-03-25 10:02:21.267262 | pt | leão
2026-03-29 21:47:15.207951 | pt | leão
2026-03-29 21:47:33.590793 | pt | elefante
2026-03-29 21:59:04.499747 | pt | leão
2026-03-29 22:02:39.715061 | pt | leão
2026-03-29 22:02:55.377779 | pt | leão
2026-03-29 22:03:09.814950 | pt | leão
2026-03-29 22:03:24.820937 | pt | leão
2026-03-29 22:03:38.627084 | pt | elefante
2026-03-29 22:04:03.621272 | pt | elefante
2026-03-29 22:04:15.831503 | pt | elefante
2026-03-29 22:04:30.547068 | pt | elefante
2026-03-29 22:04:53.655785 | pt | elefante
